;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
0;0;26.10.2018;71.7;50'04'644N,17'40'918E;;OK-0956;Std. Cirrus;Křižanov;Jiří Peterka;polygon s 5OB;14.07;50'02'169N,17'16'079E;;není možné podle pravidel bodovat
1;0;23.10.2018;61.9;50'04'020N,17'41'428E;;OK-0956;Std. Cirrus;Křižanov;Jiří Peterka;polygon s 5OB;57.81;50'04'503N,17'32'259E;;není možné podle pravidel bodovat
2;0;06.11.2018;204.1;50'18'194N,17'21'085E;;OK-6475;Ventus b(T) /16,6m;Hronov;Miloš Novotný;polygon s 5OB;73.3;50'17'567N,17'12'810E;;není možné podle pravidel bodovat
3;0;10.11.2018;55.3;49'02'013N,17'27'613E;;OK-1976;DG-400 /17m;Kunovice;Václav Ochotný;polygon s 5OB;73.41;48'55'229N,17'28'412E;;není možné podle pravidel bodovat
4;0;17.11.2018;52.8;50'28'071N,16'12'174E;;OK-2157;Bergfalke IV;Hronov;Aleš Rýdl;polygon s 5OB;18.03;50'28'931N,16'10'867E;;není možné podle pravidel bodovat
5;0;01.11.2018;263.1;50'05'693N,17'15'557E;;OM-0214;L-23 Super Blaník;Žilina;Peter Šamaj;polygon s 5OB;83.13;50'17'550N,17'13'932E;;není možné podle pravidel bodovat
6;0;17.11.2018;112;50'34'328N,15'41'628E;;OK A802;TST-10M Atlas;Vrchlabí;Mirek Soukup;polygon s 5OB;43.42;50'40'502N,15'39'661E;;není možné podle pravidel bodovat
7;0;31.10.2018;51.9;50'18'054N,17'17'663E;;OM-7272;Centrair C-101A Pegase;Žilina;Milan Surovčík ml.;polygon s 5OB;17.07;50'12'088N,17'07'537E;;není možné podle pravidel bodovat
8;0;17.11.2018;111.5;49'13'683N,18'36'067E;;OM-7272;Centrair C-101A Pegase;Žilina;Milan Surovčík ml.;polygon s 5OB;28.98;49'09'217N,18'48'217E;;volný let na vzdálenost
9;0;17.11.2018;136.7;49'15'404N,18'37'920E;;OM-1111;ASW-20 (A)+F /15m;Žilina;Peter Šamaj;polygon s 5OB;53.41;49'09'300N,18'50'600E;;volný let na vzdálenost
10;0;17.11.2018;238;50'28'067N,16'12'332E;;OK-0739;Cirrus/Cirrus VTC;Hronov;David Mach;polygon s 5OB;56.95;50'28'067N,16'12'332E;;rychlostní let se změnou tratě za letu
11;0;17.11.2018;132.9;50'27'414N,16'11'537E;;OK-4165;G-102 Astir cs;Hronov;Oldřich Slavíček;polygon s 5OB;37.26;50'28'754N,16'12'514E;;není možné podle pravidel bodovat
12;0;17.11.2018;38.3;50'34'432N,16'19'747E;;OK-3377;Bergfalke IV;Broumov;Jiri Suchomel;polygon s 5OB;28.42;50'31'688N,16'19'089E;;není možné podle pravidel bodovat
13;0;17.11.2018;58.4;50'35'004N,16'20'119E;;OK2412;VT-16 Orlik;Broumov;Petr Janeček;polygon s 5OB;47.03;50'31'212N,16'19'305E;;není možné podle pravidel bodovat
14;0;17.11.2018;183;50'24'636N,16'06'466E;;OK-6868;ASW-24B;Náchod;Michal Nutil;polygon s 5OB;75.33;50'28'069N,16'15'325E;;není možné podle pravidel bodovat
15;0;15.11.2018;21.2;48'46'960N,16'49'679E;;OK-A310;TST-10M Atlas;Letecký klub Břeclav;Karel Ertl;polygon s 5OB;39.26;48'46'780N,16'50'170E;;není možné podle pravidel bodovat
16;0;16.11.2018;68.1;50'37'518N,15'37'488E;;OK A802;TST-10M Atlas;Vrchlabí;Mirek Soukup;polygon s 5OB;15.93;50'43'213N,15'37'849E;;není možné podle pravidel bodovat
17;0;11.11.2018;65.9;50'06'635N,17'21'984E;;OK-2345;Duo Discus X(T);Slaný;Karel Mareš;polygon s 5OB;39.87;50'11'634N,17'33'451E;;není možné podle pravidel bodovat
18;0;01.11.2018;129.5;50'21'055N,15'33'688E;;OK-SUQ 51;Pipistrel Taurus 503;Hořice;Jiří Kobík;polygon s 5OB;46.22;50'38'456N,15'44'535E;;není možné podle pravidel bodovat
19;0;12.11.2018;240.3;50'06'617N,17'16'517E;;OK 2864;LS-3a /15m;Frýdlant n.O.;Martin Urban;polygon s 5OB;67.48;50'06'617N,17'16'517E;;rychlostní let se změnou tratě za letu
20;0;12.11.2018;109.1;50'51'588N,15'45'972E;;OK-2727;ASW-27;VAP;Milan Havlík;polygon s 5OB;30.83;50'48'356N,15'44'572E;;není možné podle pravidel bodovat
21;0;11.11.2018;45.4;48'15'011N,18'06'751E;;OM-0404;DG-400 /17m;Nitra;Radoslav Čagala;polygon s 5OB;20.58;48'20'161N,18'08'442E;;není možné podle pravidel bodovat
22;0;04.11.2018;43.8;48'15'224N,18'07'666E;;OM-0404;DG-400 /17m;Nitra;Radoslav Čagala;polygon s 5OB;24.21;48'19'182N,18'07'821E;;není možné podle pravidel bodovat
23;0;12.11.2018;138.4;50'18'267N,17'18'872E;;OK-7292;ASW-15B;Prostějov JF;Jakub Kohn;polygon s 5OB;34.13;50'05'083N,17'13'982E;;volný let na vzdálenost
24;0;12.11.2018;122.9;50'18'439N,17'18'812E;;OK-3136;LS-1f;Kralupy nad Vltavou;Vojtěch Novotný;polygon s 5OB;28.57;50'13'167N,17'12'415E;;není možné podle pravidel bodovat
